0,0,1,0,2,1,0,0
1,0,1,0,1,0,2,0
0,0,0,0,0,0,1,1
1,0,1,2,1,0,2,0
11,4,1,1,4,0,9,1
38,4,17,7,17,7,32,7
72,11,47,14,45,15,43,12
28,9,21,2,11,7,21,0
6,0,6,1,4,3,2,1
5,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,2,0,1,1
2,2,0,2,5,0,4,1
17,2,7,1,18,1,6,1
35,6,25,3,21,6,16,1
29,9,21,2,19,8,17,8
22,1,8,2,11,5,4,1
6,0,8,0,3,1,3,1
2,2,1,1,1,0,0,0
1,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0
1,2,0,0,2,0,2,2
2,1,1,1,2,1,1,0
4,3,3,0,2,0,2,4
12,1,6,3,11,1,9,3
40,5,25,6,28,11,20,6
49,17,37,11,31,10,35,5
40,5,18,4,18,6,13,6
14,3,12,2,13,2,6,2
3,0,7,1,7,0,3,1
0,2,0,0,3,0,1,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0
1,0,1,0,0,0,2,1
7,1,5,1,2,0,5,2
16,3,5,3,8,2,7,6
40,9,19,8,29,6,15,6
23,8,14,3,18,7,21,1
7,0,12,2,6,3,4,1
6,3,8,2,3,0,4,1
2,0,0,0,3,0,0,0
1,0,1,0,1,2,2,0
0,0,0,0,0,0,1,0
1,0,0,0,1,0,1,0
1,0,0,0,0,0,5,0
4,0,1,0,4,2,3,0
8,1,5,2,11,2,10,1
38,9,20,8,30,7,31,6
58,9,35,7,32,11,31,9
20,3,14,2,12,5,7,1
7,0,3,0,2,0,4,0
3,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0
3,0,1,0,1,0,0,0
7,0,2,2,3,0,2,1
16,1,8,3,11,0,10,2
25,11,37,6,24,8,23,6
50,8,25,6,21,6,14,3
22,2,16,6,9,3,12,4
10,1,4,0,7,4,3,2
1,1,0,0,3,2,0,0
3,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0
0,0,0,2,1,1,1,0
1,2,0,0,0,0,0,0
1,0,3,1,2,0,0,0
12,1,4,0,5,5,9,4
53,10,30,14,34,11,35,7
61,7,25,10,36,9,33,4
29,5,15,3,11,5,7,4
8,0,8,1,3,3,5,1
1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0
2,0,2,1,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1
3,0,0,0,0,0,1,0
3,0,4,0,2,2,1,1
11,2,3,3,8,1,8,5
27,10,18,4,14,3,19,5
33,6,10,9,18,7,17,1
21,2,11,3,7,3,9,2
8,0,3,2,6,1,5,0
2,0,0,0,2,0,1,0
2,0,3,0,3,0,1,1
1,1,0,0,1,1,0,0
1,0,0,0,0,2,0,0
2,1,0,0,2,0,1,1
8,1,4,3,9,3,9,5
32,12,19,6,19,8,25,8
56,9,24,10,24,6,24,9
38,5,18,4,20,5,9,3
8,2,7,3,5,3,3,4
3,0,1,0,2,0,1,0
1,0,1,0,0,0,0,0
2,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0
1,0,0,1,1,0,1,0
1,0,2,1,0,0,0,0
1,0,1,1,3,2,3,0
12,0,5,2,8,7,5,2
23,2,13,2,15,4,15,4
37,5,20,1,16,5,25,6
20,5,15,7,11,6,15,3
15,6,10,2,8,2,8,1
5,0,2,0,1,3,3,0
2,1,0,0,0,0,4,4
0,0,1,0,2,0,1,0
0,0,1,1,1,0,1,0
0,0,1,1,2,0,2,1
5,1,3,1,3,0,4,1
10,5,10,3,14,3,12,1
24,4,9,6,24,6,30,7
46,12,27,9,26,10,25,8
32,5,15,0,14,5,15,4
8,6,7,6,8,3,5,3
1,0,2,0,0,1,3,2
0,0,0,0,0,1,0,0
1,1,1,0,1,0,1,0
2,0,0,0,0,0,0,1
0,0,2,0,0,1,0,1
2,0,1,1,0,0,1,0
0,0,2,0,1,0,2,0
6,0,1,3,2,2,9,1
18,1,4,2,14,3,18,2
52,11,26,5,24,3,33,8
38,11,22,4,12,7,21,7
7,2,4,1,4,1,7,3
8,0,5,0,1,2,9,1
2,0,6,1,3,1,3,2
1,1,0,0,0,0,1,0
3,0,1,2,0,0,2,0
3,0,1,0,2,2,1,2
3,1,2,0,1,2,4,0
5,0,4,1,2,1,4,1
30,4,14,2,9,3,9,4
31,12,12,4,7,4,16,2
44,7,23,6,13,6,22,7
15,4,9,2,17,7,10,4
14,2,8,3,9,3,5,2
10,1,3,0,1,0,4,0
4,1,2,2,2,1,3,0
2,0,4,0,1,0,5,0
